make;fuel_type;num_of_doors;body_style;drive_wheels;engine_location;wheel_base;length;width;height;curb_weight;engine_type;num_of_cylinders;engine_size;fuel_system;compression_ratio;horsepower;city_mpg;highway_mpg;price;sales
jaguar;gas;four;sedan;rwd;front;113;199.6;69.6;52.8;4066;dohc;six;258;mpfi;8.1;176;15;19;35550;421
jaguar;gas;four;sedan;rwd;front;113;199.6;69.6;52.8;4066;dohc;six;258;mpfi;8.1;176;15;19;32250;733
mercedes-benz;gas;two;hardtop;rwd;front;112;199.2;72;55.4;3715;ohcv;eight;304;mpfi;8;184;14;16;45400;591
mercedes-benz;gas;four;sedan;rwd;front;120.9;208.1;71.7;56.7;3900;ohcv;eight;308;mpfi;8;184;14;16;40960;366
chevrolet;gas;two;hatchback;fwd;front;88.4;141.1;60.3;53.2;1488;l;three;61;2bbl;9.5;48;47;53;5151;209
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2385;rotor;two;70;4bbl;9.4;101;17;23;13645;134
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2380;rotor;two;70;4bbl;9.4;101;17;23;10945;22
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2380;rotor;two;70;4bbl;9.4;101;17;23;11845;595
jaguar;gas;two;sedan;rwd;front;102;191.7;70.6;47.8;3950;ohcv;twelve;326;mpfi;11.5;262;13;17;36000;455
honda;gas;two;hatchback;fwd;front;93.7;150;64;52.6;1837;ohc;four;79;1bbl;10.1;60;38;42;5399;65
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2500;rotor;two;80;mpfi;9.4;135;16;23;15645;121
dodge;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;1876;ohc;four;90;2bbl;9.4;68;31;38;6377;198
plymouth;gas;four;hatchback;fwd;front;93.7;157.3;63.8;50.6;1967;ohc;four;90;2bbl;9.4;68;31;38;6229;426
dodge;gas;four;sedan;fwd;front;93.7;157.3;63.8;50.6;1989;ohc;four;90;2bbl;9.4;68;31;38;7609;40
dodge;gas;four;hatchback;fwd;front;93.7;157.3;63.8;50.6;1967;ohc;four;90;2bbl;9.4;68;31;38;6229;37
dodge;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;1876;ohc;four;90;2bbl;9.41;68;37;41;5572;746
dodge;gas;four;sedan;fwd;front;93.7;157.3;63.8;50.6;1989;ohc;four;90;2bbl;9.4;68;31;38;6692;139
